country_code,prov_code,name,country_name
"US","AL","Alabama","United States"
"US","AK","Alaska","United States"
"US","AZ","Arizona","United States"
"US","AR","Arkansas","United States"
"US","CA","California","United States"
"US","CO","Colorado","United States"
"US","CT","Connecticut","United States"
"US","DE","Delaware","United States"
"US","DC","District of Columbia","United States"
"US","FL","Florida","United States"
"US","GA","Georgia","United States"
"US","HI","Hawaii","United States"
"US","ID","Idaho","United States"
"US","IL","Illinois","United States"
"US","IN","Indiana","United States"
"US","IA","Iowa","United States"
"US","KS","Kansas","United States"
"US","KY","Kentucky","United States"
"US","LA","Louisiana","United States"
"US","ME","Maine","United States"
"US","MD","Maryland","United States"
"US","MA","Massachusetts","United States"
"US","MI","Michigan","United States"
"US","MN","Minnesota","United States"
"US","MS","Mississippi","United States"
"US","MO","Missouri","United States"
"US","MT","Montana","United States"
"US","NE","Nebraska","United States"
"US","NV","Nevada","United States"
"US","NH","New Hampshire","United States"
"US","NJ","New Jersey","United States"
"US","NM","New Mexico","United States"
"US","NY","New York","United States"
"US","NC","North Carolina","United States"
"US","ND","North Dakota","United States"
"US","OH","Ohio","United States"
"US","OK","Oklahoma","United States"
"US","OR","Oregon","United States"
"US","PA","Pennsylvania","United States"
"US","RI","Rhode Island","United States"
"US","SC","South Carolina","United States"
"US","SD","South Dakota","United States"
"US","TN","Tennessee","United States"
"US","TX","Texas","United States"
"US","UT","Utah","United States"
"US","VT","Vermont","United States"
"US","VA","Virginia","United States"
"US","WA","Washington","United States"
"US","WV","West Virginia","United States"
"US","WI","Wisconsin","United States"
"US","WY","Wyoming","United States"
"US","AS","American Samoa","United States"
"US","GU","Guam","United States"
"US","MP","Northern Mariana Islands","United States"
"US","PR","Puerto Rico","United States"
"US","UM","U.S. Minor Outlying Islands","United States"
"US","VI","U.S. Virgin Islands","United States"
"CA","AB","Alberta","Canada"
"CA","BC","British Columbia","Canada"
"CA","SK","Saskatchewan","Canada"
"CA","MB","Manitoba","Canada"
"CA","NB","New Brunswick","Canada"
"CA","NL","Newfoundland and Labrador","Canada"
"CA","NT","Northwest Territories","Canada"
"CA","NS","Nova Scotia","Canada"
"CA","NU","Nunavut","Canada"
"CA","ON","Ontario","Canada"
"CA","PE","Prince Edward Island","Canada"
"CA","QC","Quebec","Canada"
"CA","YT","Yukon","Canada"
